item,count,price,cost,profits
Flat white,4830,86787,22662.1,64124.9
Aqua Carpathica Water 330ml,3178,25424,0,25424
Hot latte,2783,55575,13721.41,41853.59
Cappuccino,2391,45310,12565.6,32744.4
Cold sukariah latte ,1947,48710,30803,17907
hot Americano ,1710,27193,2193.69,24999.31
V60,1320,32924,1198.14,31725.86
hot sukariah latte ,1188,29721,21760.15,7960.85
hot mastic latte,987,24632,21400.62,3231.38
Ice latte,945,18761,3554.72,15206.28
cold mastic latte,930,22510,20476.63,2033.37
Chemex,881,21945,1748.43,20196.57
Cortado,842,15143,3840.25,11302.75
Nova water,842,2526,842,1684
Giant cookies,749,11046,6959,4087
Watermelon mojito and pineapple,706,14826,0,14826
Brownies,697,5576,2192,3384
Cold cotton candy latte,587,14741,735.88,14005.13
Cherry mojito,584,12264,0,12264
Classic mojito,575,10925,0,10925
Lemon cake,537,9666,2240,7426
Brownies 3 pieces,535,6925,3390,3535
Donuts,535,6955,2527,4428
Cold pro,525,13599,0,13599
Chocolate cake,472,8496,7050,1446
Date cakes,455,10578,457,10121
Chocolate molten cake,451,10242,454,9788
Espresso,440,6111,1805.28,4305.72
Ice cream,434,6103,0,6103
Cookie chocolate chips,391,7038,2404.65,4633.35
Hot chocolates,373,7866,8043.2,-177.2
cold Americano ,356,5692,162,5530
Strawberry mojito,340,7480,340,7140
hot cotton candy latte,322,8055,452.2,7602.8
Pecan Chocolate Cheesecake,313,5634,2512,3122
hot coconut latte,310,7750,8302.02,-552.02
tea,286,3478,0,3478
New York Cheesecake,281,6689,2538,4151
Zaatar cake,255,4080,266,3814
Saffron cake,224,6050,686,5364
Pineapple cake,218,4638,2016.5,2621.5
Passion fruit mojito,208,4576,0,4576
Truffle Royal Cake,204,3876,1795.2,2080.8
Date cake with nuts,194,3496,588,2908
Chocolate shaken,176,3708,3846.19,-138.19
kilga cake,174,3132,2722,410
cold coconut latte,173,4325,244.25,4080.75
Date cheesecake with nuts,171,3078,1290,1788
Coffee of the day,158,1580,0,1580
Babka,142,2414,2014,400
Mini pancake medium,118,1648,0,1648
Turkish coffee,113,1582,0,1582
Lemon cake pound,113,1356,0,1356
Cookies,106,1376,0,1376
V60 cold distillation,88,2200,0,2200
Iced tea,68,1292,0,1292
Lollipop mojito,68,1564,0,1564
Fudge Brownies,67,603,0,603
Basbousa,54,859,270,589
Popcorn mousse cake,54,702,324,378
lemon mousse cake,52,988,0,988
Thyme brownies,52,416,416,0
Salted caramel brownies,47,376,384,-8
muffin klija,44,696,0,696
brooches,42,1470,1260,210
Oreo chocolate candy jar,40,640,352,288
Chocolate mousse cake,39,858,312,546
Cookies,38,380,0,380
Brownies Crunch Chocolate,37,296,296,0
Chocolate triple cake,34,408,204,204
Lavender Pound Cake,34,442,0,442
Chemex cold distillation,32,800,0,800
Pecan Pot,31,248,124,124
Giant brownies,30,540,225,315
Pecan Cookies,29,290,290,0
Soufflé,28,364,32,332
Coffee muffin,27,351,224,127
Key lime cheesecake,26,473,234,239
Himalayan salt cookies,24,240,240,0
Musical Night Tickets 07-10-2021M,20,2728,0,2728
Plain croissant,19,323,323,0
Cardamom brownies,18,144,144,0
cream fudge tart,17,238,85,153
Strawberry cob,14,378,252,126
Small cup of Arabic coffee,14,126,0,126
mini konafa,13,212,65,147
Popcorn tart,12,168,60,108
Delight tart,12,168,60,108
Red raspberry cake,11,132,66,66
Banana lemonade,9,225,0,225
Qiss Ogaili cake,8,144,144,0
Warrior Crunch - Salted Caramel,6,78,63,15
pudding cheesecake,6,192,112.5,79.5
Writing an Arabic name with one word (Diwani script),5,150,50,100
Nitro Cold Pro,3,78,75,3
Coffee brownies,2,16,16,0